D-001|human-workspace/user_prompt/20260429_01_init.txt|001-orch-vs-cc-native.md
D-002|human-workspace/user_prompt/20260429_01_init.txt|002-phase-0-harness-bootstrap-design.md
D-003|human-workspace/user_prompt/20260429_06.txt|003-up06-track-5.5-sync-layer-selfcap.md
D-004|human-workspace/user_prompt/20260429_07.txt|004-up07-context-threshold-opus47.md
D-005|human-workspace/user_prompt/20260429_08.txt|005-up08-track-5.5d-self-learning-pipeline.md
D-006|agent-workspace/memory/decisions/002-phase-0-harness-bootstrap-design.md|006-track-8a-confidence-score-system.md
D-007|agent-workspace/memory/decisions/002-phase-0-harness-bootstrap-design.md|007-track-8b-memory-l0-l1-extraction.md
D-008|agent-workspace/memory/decisions/002-phase-0-harness-bootstrap-design.md|008-track-9-self-awareness-reduced.md
D-009|PROJECT_CHARTER.md|009-VHM-thin-slice-exemplar.md
D-010|PROJECT_CHARTER.md|010-VN-domain-constitution-proposals.md
D-011|PROJECT_CHARTER.md|011-phase-2-entry-tier1-tier2-vn30-rollout.md
D-012|agent-workspace/session-plans/pending/005-S31-phase-2-master-plan.md|012-track-A-source-pivot.md
D-013|agent-workspace/memory/post-mortems/2026-05-01-self-awareness-promotion-skip.md|013-S35-meta-loop-recovery-promote-routing.md
D-014|agent-workspace/session-plans/pending/005-S31-phase-2-master-plan.md|014-track-F-architecture.md
D-015|human-workspace/q-and-a/pending/2026-05-01-001-S35-charter-promote-batch.md|015-S38-charter-promote-autonomous-protocol.md
D-016|human-workspace/q-and-a/pending/2026-05-01-001-S35-charter-promote-batch.md|016-S38-charter-promote-decision-discipline.md
D-017|human-workspace/q-and-a/pending/2026-05-01-001-S35-charter-promote-batch.md|017-S38-charter-promote-memory-tiers.md
D-018|human-workspace/q-and-a/pending/2026-05-01-003-S39-track-E-bundle-2-scope-amendments.md|018-S43c-charter-promote-architecture-amendment.md
D-019|human-workspace/q-and-a/pending/2026-05-01-003-S39-track-E-bundle-2-scope-amendments.md|019-S43c-charter-promote-financial-data-protocol-rule-11.md
D-020|human-workspace/q-and-a/pending/2026-05-01-003-S39-track-E-bundle-2-scope-amendments.md|020-S43c-charter-promote-session-budgets-mode-abcd.md
D-021|human-workspace/q-and-a/pending/2026-05-01-003-S39-track-E-bundle-2-scope-amendments.md|021-S43c-charter-promote-financial-data-protocol-VN.md
D-022|human-workspace/q-and-a/pending/2026-05-01-003-S39-track-E-bundle-2-scope-amendments.md|022-S43c-charter-promote-invariants-VN.md
D-023|human-workspace/q-and-a/pending/2026-05-01-003-S39-track-E-bundle-2-scope-amendments.md|023-S43c-charter-amend-autonomous-protocol-cost-substrate.md
D-024|agent-workspace/proposals/memory-routing-tree.md|024-S43c-HR-4-charter-promote-memory-routing-tree.md
D-025|human-workspace/q-and-a/pending/2026-05-01-003-S39-track-E-bundle-2-scope-amendments.md|025-S43d-phase-2-envelope-amendment.md
D-026|agent-workspace/proposals/architecture-amendment-C1-llm-substrate-boundary.md|026-S43e-charter-promote-bundle-C1-C2.md
D-027|specs/tier2-feature/002-influence-network-tracking.md (binding spec; § A.3 BR-1..BR-10 + § B.1 entities + § B.3 UC-1..UC-5 + § B.4 adapters + § B.6 schema)|027-S45-BC-6-architecture-influence-network.md
D-028|agent-workspace/proposals/claude-md-session-end-extension-HH-C.4.md|028-S48d-CLAUDE-md-session-end-ritual-extension.md
D-029|agent-workspace/proposals/drift-signals-reconciliation.md|029-S48d-charter-promote-drift-signals-reconciliation.md
D-030|agent-workspace/proposals/autonomous-protocol-amendment-mode-E.md|030-S48f-charter-promote-autonomous-protocol-rule-10-mode-E.md
D-031|agent-workspace/proposals/qa-lifecycle-contract-revision-HH-E.2.md|031-S48h-charter-promote-qa-lifecycle-auto-mv-HH-E.2.md
D-032|specs/tier2-feature/003-crowd-sentiment-pump-detection.md (binding spec; § A.3 BR-1..BR-10 + § B.1 entities + § B.3 UC-1..UC-4 + § B.4 adapters + § B.5 schema + § B.7 calibration + § B.8 quality gates)|032-S51-BC-7-architecture-crowd-sentiment.md
D-033|human-workspace/q-and-a/pending/2026-05-07-001-phase-3.5-T5-T6-T8-charter-gate.md|033-S173-T5-harness-health-protocol-charter-promote.md
D-034|human-workspace/q-and-a/pending/2026-05-07-001-phase-3.5-T5-T6-T8-charter-gate.md|034-S173-T8-charter-revision-v1.1-principle-11-proposal.md
D-035|human-workspace/q-and-a/pending/2026-05-07-001-phase-3.5-T5-T6-T8-charter-gate.md|035-S173-T6-harness-health-self-scan-hook.md
D-036|agent-workspace/memory/checkpoints/latest.md|036-S174-HH-G-portability-close.md
D-037|agent-workspace/memory/mistake-log.md|037-S175-M-S171-1-prevention-hooks.md
D-038|agent-workspace/memory/observations/2026-05-07-S176-HH-C2-misfire-root-cause.md|038-S176-HH-C2-staleness-watchdog-misfire-fix-proposal.md
D-039|agent-workspace/memory/observations/2026-05-07-S178-file-pattern-hook-compliance-audit.md|039-S179-file-pattern-hook-batch-fix.md
D-040|human-workspace/notifications/working-memory-budget-OVER-2026-05-07.md|040-S180-renderer-trim-and-file-pattern-lint-ship.md
D-041|agent-workspace/memory/checkpoints/latest.md|041-S181-HH-6-HH-10-batch-cleanup.md
D-042|agent-workspace/memory/checkpoints/latest.md|042-S184-continue-injector-spawn-extraction.md
D-043|agent-workspace/memory/checkpoints/latest.md|043-S186-userprompt-stdout-fix.md
D-044|agent-workspace/memory/checkpoints/2026-05-07-S187-archive.md|044-S188-hook5-stdout-fix.md
D-045|agent-workspace/memory/.auto-reboot-BLOCKED-stale-checkpoint|045-S189-hh-h1-threshold-relaxation.md
D-046|agent-workspace/memory/decisions/044-S188-hook5-stdout-fix.md|046-S190-hook5-stderr-redirect.md
D-047|MISSING|047-S220-charter-v1.1-principle-11-ratified.md
D-048|MISSING|048-S220-T5-harness-health-protocol-promoted-to-constitution.md
D-049|MISSING|049-S220-L-S208-1-portability-promoted-to-constitution.md
D-050|chat 2026-05-09 (S227 AskUserQuestion response — LIVE-dogfood gate redirect)|050-S227-anthropic-to-subagent-systemic.md
D-051|agent-workspace/memory/decisions/050-S227-anthropic-to-subagent-systemic.md|051-S228-news-extractor-subagent-refactor.md
D-052|agent-workspace/memory/decisions/050-S227-anthropic-to-subagent-systemic.md|052-S229-anthropic-sdk-codepath-full-removal.md
